구분(dvs),품명(itmnm),육군(army),해군(navy),해병(mr),공군(af)
1,전투복,2,0,2,2
2,하계전투복(상의),1,0,1,1
3,하계전투복(하의),2,0,2,2
4,컴뱃셔츠,2,2,2,2
5,베레모,1,0,0,0
6,전투모(함상모),1,1,1,1
7,기능성전투화(함상화),2,1,2,2
8,함상복,0,4,0,0
9,정모(게리슨모),0,2,0,1
10,근무모,0,1,0,0
11,운동모(활동모),1,1,1,1
12,동계생활모,1,1,1,1
13,동근무복,0,0,1,1
14,하근무복,0,0,1,1
15,단화,0,1,0,1
16,방상외피(함상방한복),1,1,1,1
17,방상내피,1,1,1,1
18,외투(반코트),0,1,0,1
19,동내의,2,2,2,2
20,춘추내의,0,0,0,0
21,의류대,1,1,1,1
22,장갑,1,1,1,1
23,런닝,10,10,10,10
24,팬티,10,10,10,10
25,디지털요대,1,1,1,1
26,요대/박클,0,2,1,1
27,인식표/줄,1,1,1,1
28,면양말,10,10,10,10
29,방한양말,4,0,4,0
30,단양말,0,8,0,8
31,면수건,7,7,7,7
32,손수건,1,1,1,1
33,동정복,0,1,0,0
34,하정복,0,1,0,0
35,전투용장갑,1,1,1,1
36,모장갑,1,1,1,1
37,운동화,2,2,2,2
38,동운동복,2,2,2,2
39,하운동복,2,2,2,2
40,춘추운동복,2,2,2,2
41,세면주머니,1,1,1,1
42,슬리퍼,1,1,1,1
43,고무줄,1,0,1,1
44,귀덮개,1,1,1,1
45,목도리,1,1,1,1
46,넥타이(핀),0,0,0,1
47,넥카치프(링),0,1,0,0
48,백색마후라,0,1,0,0
49,패딩형동계점퍼,1,1,1,1
50,전투용안경,1,1,1,1
51,플리스형스웨터,1,1,1,1
52,육면전투화손질도구,1,0,1,0
