# sheet: 1. 개방자치단체코드
번호    자치단체명    자치단체 코드
1    서울특별시 전체    6110000_ALL
2    부산광역시 전체    6260000_ALL
3    대구광역시 전체    6270000_ALL
4    인천광역시 전체    6280000_ALL
5    광주광역시 전체    6290000_ALL
6    대전광역시 전체    6300000_ALL
7    울산광역시 전체    6310000_ALL
8    세종특별자치시 전체    5690000_ALL
9    경기도 전체    6410000_ALL
10    강원특별자치도 전체    6530000_ALL
11    충청북도 전체    6430000_ALL
12    충청남도 전체    6440000_ALL
13    전북특별자치도 전체    6540000_ALL
14    전라남도 전체    6460000_ALL
15    경상북도 전체    6470000_ALL
16    경상남도 전체    6480000_ALL
17    제주특별자치도 전체    6500000_ALL
18    경기도    6410000
19    경상남도    6480000
20    경상북도    6470000
21    광주광역시    6290000
22    대구광역시    6270000
23    대전광역시    6300000
24    부산광역시    6260000
25    서울특별시    6110000
26    울산광역시    6310000
27    인천광역시    6280000
28    전라남도    6460000
29    전북특별자치도    6540000
30    제주도    6500000
31    충청남도    6440000
32    충청북도    6430000
33    세종특별자치시    5690000
34    강원강릉시    4201000
35    강원고성군    4341000
36    강원동해시    4211000
37    강원삼척시    4241000
38    강원속초시    4231000
39    강원양구군    4321000
40    강원양양군    4351000
41    강원영월군    4271000
42    강원원주시    4191000
43    강원인제군    4331000
44    강원정선군    4291000
45    강원철원군    4301000
46    강원춘천시    4181000
47    강원태백시    4221000
48    강원평창군    4281000
49    강원홍천군    4251000
50    강원화천군    4311000
51    강원횡성군    4261000
52    경기가평군    4160000
53    경기고양시    3940000
54    경기과천시    3970000
55    경기광명시    3900000
56    경기광주시    5540000
57    경기구리시    3980000
58    경기군포시    4020000
59    경기김포시    4090000
60    경기남양주시    3990000
61    경기동두천시    3920000
62    경기부천시    3860000
63    경기성남시    3780000
64    경기수원시    3740000
65    경기시흥시    4010000
66    경기안산시    3930000
67    경기안성시    4080000
68    경기안양시    3830000
69    경기양주시    5590000
70    경기양평군    4170000
71    경기여주시    5700000
72    경기연천군    4140000
73    경기오산시    4000000
74    경기용인시    4050000
75    경기의왕시    4030000
76    경기의정부시    3820000
77    경기이천시    4070000
78    경기파주시    4060000
79    경기평택시    3910000
80    경기포천시    5600000
81    경기하남시    4040000
82    경기화성시    5530000
83    경남거제시    5370000
84    경남거창군    5470000
85    경남고성군    5420000
86    경남김해시    5350000
87    경남남해군    5430000
88    경남밀양시    5360000
89    경남사천시    5340000
90    경남산청군    5450000
91    경남양산시    5380000
92    경남의령군    5390000
93    경남진주시    5310000
94    경남창녕군    5410000
95    경남창원시    5670000
96    경남통영시    5330000
97    경남하동군    5440000
98    경남함안군    5400000
99    경남함양군    5460000
100    경남합천군    5480000
101    경북경산시    5130000
102    경북경주시    5050000
103    경북고령군    5200000
104    경북구미시    5080000
105    경북김천시    5060000
106    경북문경시    5120000
107    경북봉화군    5240000
108    경북상주시    5110000
109    경북성주군    5210000
110    경북안동시    5070000
111    경북영덕군    5180000
112    경북영양군    5170000
113    경북영주시    5090000
114    경북영천시    5100000
115    경북예천군    5230000
116    경북울릉군    5260000
117    경북울진군    5250000
118    경북의성군    5150000
119    경북청도군    5190000
120    경북청송군    5160000
121    경북칠곡군    5220000
122    경북포항시    5020000
123    광주광산구    3630000
124    광주남구    3610000
125    광주동구    3590000
126    광주북구    3620000
127    광주서구    3600000
128    대구군위군    5141000
129    대구남구    3440000
130    대구달서구    3470000
131    대구달성군    3480000
132    대구동구    3420000
133    대구북구    3450000
134    대구서구    3430000
135    대구수성구    3460000
136    대구중구    3410000
137    대전대덕구    3680000
138    대전동구    3640000
139    대전서구    3660000
140    대전유성구    3670000
141    대전중구    3650000
142    부산강서구    3360000
143    부산금정구    3350000
144    부산기장군    3400000
145    부산남구    3310000
146    부산동구    3270000
147    부산동래구    3300000
148    부산부산진구    3290000
149    부산북구    3320000
150    부산사상구    3390000
151    부산사하구    3340000
152    부산서구    3260000
153    부산수영구    3380000
154    부산연제구    3370000
155    부산영도구    3280000
156    부산중구    3250000
157    부산해운대구    3330000
158    서울강남구    3220000
159    서울강동구    3240000
160    서울강북구    3080000
161    서울강서구    3150000
162    서울관악구    3200000
163    서울광진구    3040000
164    서울구로구    3160000
165    서울금천구    3170000
166    서울노원구    3100000
167    서울도봉구    3090000
168    서울동대문구    3050000
169    서울동작구    3190000
170    서울마포구    3130000
171    서울서대문구    3120000
172    서울서초구    3210000
173    서울성동구    3030000
174    서울성북구    3070000
175    서울송파구    3230000
176    서울양천구    3140000
177    서울영등포구    3180000
178    서울용산구    3020000
179    서울은평구    3110000
180    서울종로구    3000000
181    서울중구    3010000
182    서울중랑구    3060000
183    울산남구    3700000
184    울산동구    3710000
185    울산북구    3720000
186    울산울주군    3730000
187    울산중구    3690000
188    인천강화군    3570000
189    인천계양구    3550000
190    인천남동구    3530000
191    인천동구    3500000
192    인천미추홀구    3510500
193    인천부평구    3540000
194    인천서구    3560000
195    인천연수구    3520000
196    인천옹진군    3580000
197    인천중구    3490000
198    전남강진군    4920000
199    전남고흥군    4880000
200    전남곡성군    4860000
201    전남광양시    4840000
202    전남구례군    4870000
203    전남나주시    4830000
204    전남담양군    4850000
205    전남목포시    4800000
206    전남무안군    4950000
207    전남보성군    4890000
208    전남순천시    4820000
209    전남신안군    5010000
210    전남여수시    4810000
211    전남영광군    4970000
212    전남영암군    4940000
213    전남완도군    4990000
214    전남장성군    4980000
215    전남장흥군    4910000
216    전남진도군    5000000
217    전남함평군    4960000
218    전남해남군    4930000
219    전남화순군    4900000
220    전북고창군    4781000
221    전북군산시    4671000
222    전북김제시    4711000
223    전북남원시    4701000
224    전북무주군    4741000
225    전북부안군    4791000
226    전북순창군    4771000
227    전북완주군    4721000
228    전북익산시    4681000
229    전북임실군    4761000
230    전북장수군    4751000
231    전북전주시    4641000
232    전북정읍시    4691000
233    전북진안군    4731000
234    제주서귀포시    6520000
235    제주제주시    6510000
236    충남계룡시    5580000
237    충남공주시    4500000
238    충남금산군    4550000
239    충남논산시    4540000
240    충남당진시    5680000
241    충남보령시    4510000
242    충남부여군    4570000
243    충남서산시    4530000
244    충남서천군    4580000
245    충남아산시    4520000
246    충남예산군    4610000
247    충남천안시    4490000
248    충남청양군    4590000
249    충남태안군    4620000
250    충남홍성군    4600000
251    충북괴산군    4460000
252    충북단양군    4480000
253    충북보은군    4420000
254    충북영동군    4440000
255    충북옥천군    4430000
256    충북음성군    4470000
257    충북제천시    4400000
258    충북증평군    5570000
259    충북진천군    4450000
260    충북청주시    5710000
261    충북충주시    4390000
# sheet: 2. 영업상태코드
번호    영업상태코드명    영업상태코드
1    영업/정상    01
2    휴업    02
3    폐업    03
4    취소/말소/만료/정지/중지    04
