# idx	t_seconds	sha1	label
0000	0.000	adc83b19e793	boot
0001	0.023	5e44fbe39a90	delta
0002	0.034	de08f3be73ae	delta
0003	0.672	90443e4b0a06	delta
0004	0.672	10dcc6a2a0a9	delta
0005	1.140	7bd54a6902c0	delta
0006	1.140	f1048fb5ea22	delta
0007	1.140	ebf4b1f7121b	delta
0008	3.150	83101e32683a	delta
0009	3.150	092c4c661162	delta
0010	3.202	4bc559b4f740	delta
0011	3.202	22e1a32bdc74	delta
0012	3.307	8396c6bddbc8	delta
0013	3.462	78c73aba898d	delta
0014	3.568	e6b3c7e2d09a	delta
0015	3.668	2b70a494d351	delta
0016	3.829	2016a5df513c	delta
0017	3.879	53e709df352c	delta
0018	3.933	d2c37128dc32	delta
0019	3.987	ce3736c5fc89	delta
0020	4.041	541e97d4db9e	delta
0021	4.195	1a4d9b9e670b	delta
0022	4.300	2f674abe9d65	delta
0023	4.404	d849b6bce9fd	delta
0024	4.554	91033e00c848	delta
0025	4.768	d849b6bce9fd	delta
0026	4.867	2f674abe9d65	delta
0027	5.023	1a4d9b9e670b	delta
0028	5.127	6784c9ec0fbc	delta
0029	5.231	79e69d24ebd8	delta
0030	5.495	65d13337fef7	delta
0031	5.600	eec692b79f6f	delta
0032	5.755	05477f3cf0c0	delta
0033	5.830	f818982fd108	delta
0034	5.830	d543ac87a46a	delta
0035	5.841	9881d5afa094	delta
0036	5.861	6ef9679da6c4	delta
0037	5.907	34fa01252b9a	delta
0038	5.958	94c59667cd8a	delta
0039	5.989	051be6f108f6	delta
0040	5.993	32f4ded2b8b2	delta
0041	5.993	3ccf9a5e98fa	delta
0042	6.011	09b4ad31514f	delta
0043	6.064	b1161095d872	delta
0044	6.088	37fa61a16781	delta
0045	6.097	b6cc7888312c	delta
0046	6.097	a89ccc434dee	delta
0047	6.100	7aee4f431da8	delta
0048	6.106	839783de0282	delta
0049	6.115	c8f26385c6d4	delta
0050	6.124	3cff34d19a56	delta
0051	6.131	992b4c3395cd	delta
0052	6.141	1ca56526cba3	delta
0053	6.148	a512a8c26bd0	delta
0054	6.159	9327a7330629	delta
0055	6.174	9979fec83c6c	delta
0056	6.194	2532886fd3f4	delta
0057	6.223	cca1720f53e6	delta
0058	6.243	3d7d1d937792	delta
0059	6.247	523264c0e99f	delta
0060	6.259	5b38bcccc920	delta
0061	6.264	98e9868f8937	delta
0062	6.264	3290fa9a04a9	delta
0063	6.277	ee8513ced325	delta
0064	6.281	4c28e5b3e7ef	delta
0065	6.299	66abcbe3deca	delta
0066	6.303	3851d091cf76	delta
0067	6.316	159cdb64166e	delta
0068	6.319	2dd34dfb0321	delta
0069	6.329	a887c4de3028	delta
0070	6.333	a6d780a06bed	delta
0071	6.338	e5b245d931ec	delta
0072	6.351	fb60ccff5513	delta
0073	6.355	e8eaa12f89b3	delta
0074	6.368	3e12e2913918	delta
0075	6.372	e55a3368c696	delta
0076	6.385	12ab47a1bcd3	delta
0077	6.389	98c4cc4ac7bf	delta
0078	6.401	dc10c92725f1	delta
0079	6.405	4f35b5c4f700	delta
0080	6.420	d64d47f9d3d2	delta
0081	6.433	fe692c7a4b1e	delta
0082	6.451	2f047226638b	delta
0083	6.471	24f2064a78aa	delta
0084	6.474	92ac54f2440b	delta
0085	6.488	0b66d50fa8e1	delta
0086	6.500	907f007072a0	delta
0087	6.508	99c1710948c4	delta
0088	6.517	2443034435ab	delta
0089	6.526	80f35baefd0a	delta
0090	6.527	91105b95130f	delta
0091	6.540	72abdeb611be	delta
0092	6.592	43d2a3761e70	delta
0093	6.611	afa419822070	delta
0094	6.620	86aedc47cc87	delta
0095	6.624	20dcde40a79e	delta
0096	6.640	23d0057c5f68	delta
0097	6.644	8041b2cbeec7	delta
0098	6.655	3e9d665be288	delta
0099	6.660	cc6cbb9bb016	delta
0100	6.670	53101d5ff23a	delta
0101	6.690	e7f93d8e7040	delta
0102	6.694	597d9d926729	delta
0103	6.704	7329258d2a6b	delta
0104	6.708	37ea9427ef08	delta
0105	6.724	ec6b54c787f3	delta
0106	6.742	087e1547ec88	delta
0107	6.754	527db2815df6	delta
0108	6.761	a1788368a969	delta
